"pais","estado","siglas","regiao","renda_per_capita(IBGE)","idh(IBGE)","taxa_desemprego_feminino"
"Brasil","Acre","AC","Norte","1095","0.71","0.14"
"Brasil","Alagoas","AL","Nordeste","1110","0.684","0.124"
"Brasil","Amapá","AP","Norte","1520","0.688","0.109"
"Brasil","Amazonas","AM","Norte","1172","0.7","0.095"
"Brasil","Bahia","BA","Nordeste","1139","0.691","0.14"
"Brasil","Ceará","CE","Nordeste","1166","0.734","0.11"
"Brasil","Distrito Federal","DF","Centro-Oeste","3357","0.814","0.08"
"Brasil","Espírito Santo","ES","Sudeste","1915","0.771","0.07"
"Brasil","Goiás","GO","Centro-Oeste","2017","0.737","0.09"
"Brasil","Maranhão","MA","Nordeste","945","0.676","0.1"
"Brasil","Mato Grosso","MT","Centro-Oeste","1991","0.736","0.037"
"Brasil","Mato Grosso do Sul","MS","Centro-Oeste","2030","0.742","0.04"
"Brasil","Minas Gerais","MG","Sudeste","1918","0.774","0.08"
"Brasil","Pará","PA","Norte","1282","0.69","0.09"
"Brasil","Paraíba","PB","Nordeste","1320","0.698","0.1"
"Brasil","Paraná","PR","Sul","2115","0.769","0.07"
"Brasil","Pernambuco","PE","Nordeste","1113","0.719","0.124"
"Brasil","Piauí","PI","Nordeste","1342","0.69","0.11"
"Brasil","Rio de Janeiro","RJ","Sudeste","2367","0.762","0.08"
"Brasil","Rio Grande do Norte","RN","Nordeste","1373","0.728","0.05"
"Brasil","Rio Grande do Sul","RS","Sul","2304","0.771","0.04"
"Brasil","Rondônia","RO","Norte","1527","0.7","0.037"
"Brasil","Roraima","RR","Norte","1325","0.699","0.06"
"Brasil","Santa Catarina","SC","Sul","2269","0.792","0.038"
"Brasil","São Paulo","SP","Sudeste","2492","0.806","0.07"
"Brasil","Sergipe","SE","Nordeste","1218","0.702","0.09"
"Brasil","Tocantins","TO","Norte","1581","0.731","0.08"
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
