estado,siglas,tentativa_2020,consumado_2020,tentativa_2021,consumado_2021,tentativa_2022,consumado_2022,tentativa_2023,consumado_2023
Acre,AC,42,31,60,29,71,21,79,15
Alagoas,AL,115,98,118,73,162,71,181,79
Amapá,AP,60,20,74,26,142,25,125,17
Amazonas,AM,30,68,86,109,126,108,171,126
Bahia,BA,509,447,565,424,591,406,611,442
Ceará,CE,285,329,294,339,324,264,315,264
Distrito Federal,DF,201,39,179,43,207,33,240,47
Espírito Santo,ES,404,102,375,108,450,97,484,88
Goiás,GO,333,106,316,131,365,137,359,125
Maranhão,MA,179,125,232,134,261,130,264,134
Mato Grosso,MT,249,104,229,85,249,101,343,103
Mato Grosso do Sul,MS,187,111,156,70,210,77,170,51
Minas Gerais,MG,343,437,418,298,413,316,407,323
Pará,PA,294,181,211,200,330,209,465,204
Paraíba,PB,129,94,112,83,82,80,99,74
Paraná,PR,325,229,342,208,375,256,285,245
Pernambuco,PE,0,228,301,230,374,219,386,271
Piauí,PI,85,61,162,73,197,71,154,62
Rio de Janeiro,RJ,273,200,502,247,536,283,593,291
Rio Grande do Norte,RN,32,75,295,75,349,66,432,55
Rio Grande do Sul,RS,692,233,620,235,602,283,630,220
Rondônia,RO,161,56,96,64,158,64,179,48
Roraima,RR,59,16,87,31,49,19,60,17
Santa Catarina,SC,365,104,348,107,385,102,457,107
São Paulo,SP,368,424,336,366,399,423,619,447
Sergipe,SE,135,42,144,42,125,37,152,39
Tocantins,TO,120,39,70,39,134,36,112,36
